Lon Lat Yield EC WHC
-111.779052 42.608597 112.15 24.35 NA
-111.78916 42.608901 101.21 24.69 2.99
-111.788486 42.608901 110.17 23.98 NA
-111.787812 42.608901 131.95 25.57 3.84
-111.787138 42.608901 138.37 24.43 NA
-111.786464 42.608901 143.89 21.62 NA
-111.785791 42.608901 127.39 23.39 8.31
-111.785117 42.608901 121.78 24.68 NA
-111.784443 42.608901 122.63 25.77 NA
-111.783769 42.608901 120.29 20.54 NA
-111.783095 42.608901 113.26 22.7 NA
-111.782421 42.608901 121.87 21.1 NA
-111.781748 42.608901 129.67 24.06 NA
-111.781074 42.608901 127.8 23.49 NA
-111.7804 42.608901 113.1 22.36 NA
-111.779726 42.608901 116.15 23.36 NA
-111.779052 42.608901 111.67 27.97 8.31
-111.78916 42.609206 106.05 24.62 NA
-111.788486 42.609206 109.53 23.29 NA
-111.787812 42.609206 113.39 24.35 NA
-111.787138 42.609206 137.88 24.98 NA
-111.786464 42.609206 133.81 25.93 NA
-111.785791 42.609206 136.45 25.15 NA
-111.785117 42.609206 112.62 26.41 5.49
-111.784443 42.609206 121.85 18.46 NA
-111.783769 42.609206 118.3 21.51 NA
-111.783095 42.609206 107.93 19.84 5.58
-111.782421 42.609206 129.02 25.66 NA
-111.781748 42.609206 127.91 22.92 NA
-111.781074 42.609206 126.1 21.62 NA
-111.7804 42.609206 122.6 19.15 NA
-111.779726 42.609206 102.9 25.09 NA
-111.779052 42.609206 109.06 29.07 NA
-111.78916 42.60951 97.99 22.53 NA
-111.788486 42.60951 110.2 21.67 4.31
-111.787812 42.60951 132.96 25.83 NA
-111.787138 42.60951 122.54 25.68 NA
-111.786464 42.60951 132.16 24.91 NA
-111.785791 42.60951 125.78 21.75 NA
-111.785117 42.60951 126.54 27.42 NA
-111.784443 42.60951 119.11 23.59 NA
-111.783769 42.60951 114.3 21.45 NA
-111.783095 42.60951 118.15 21.59 NA
-111.782421 42.60951 132.07 21.04 NA
-111.781748 42.60951 119.6 21.81 5.17
-111.781074 42.60951 138.19 17.71 NA
-111.7804 42.60951 119.57 20.11 NA
-111.779726 42.60951 109.96 21.23 NA
-111.779052 42.60951 110.66 26.77 8.27
-111.789833 42.609815 88.23 24.21 6.23
-111.78916 42.609815 114.02 25.68 NA
-111.788486 42.609815 122.67 22.08 NA
-111.787812 42.609815 112.8 23.51 5.6
-111.787138 42.609815 122.87 25.52 NA
-111.786464 42.609815 113.69 26.14 NA
-111.785791 42.609815 125.76 26.56 NA
-111.785117 42.609815 116.56 29.87 6.15
-111.784443 42.609815 104.3 21.48 NA
-111.783769 42.609815 116.98 20.96 NA
-111.783095 42.609815 108.43 19.83 NA
-111.782421 42.609815 120.72 20.52 NA
-111.781748 42.609815 135.56 23.6 NA
-111.781074 42.609815 133.79 19.07 NA
-111.7804 42.609815 119.21 19.79 NA
-111.779726 42.609815 102.23 24.01 NA
-111.779052 42.609815 111.16 26.87 NA
-111.778379 42.609815 111.74 30.67 8.54
-111.789833 42.610119 98.05 23.28 NA
-111.78916 42.610119 101.48 23.79 NA
-111.788486 42.610119 115.87 21.77 5.49
-111.787812 42.610119 110.06 24.78 NA
-111.787138 42.610119 121.08 25.46 NA
-111.786464 42.610119 127.96 26.21 NA
-111.785791 42.610119 118.57 28.59 NA
-111.785117 42.610119 111.02 29.79 NA
-111.784443 42.610119 105.27 24.19 NA
-111.783769 42.610119 107.92 21.84 NA
-111.783095 42.610119 137.87 17.44 NA
-111.782421 42.610119 130.22 23.11 NA
-111.781748 42.610119 128.5 22.31 5.88
-111.781074 42.610119 129.72 21.24 NA
-111.7804 42.610119 130.11 16.04 NA
-111.779726 42.610119 125.25 21.92 NA
-111.779052 42.610119 99.34 27.3 NA
-111.778379 42.610119 105.84 29.4 NA
-111.789833 42.610424 91.49 24.51 NA
-111.78916 42.610424 111.59 26.87 NA
-111.788486 42.610424 101.19 24.81 6.13
-111.787812 42.610424 120.81 22.39 5.05
-111.787138 42.610424 110.86 24.38 NA
-111.786464 42.610424 107.92 26.89 6.44
-111.785791 42.610424 111.53 26.33 NA
-111.785117 42.610424 117.82 29.66 NA
-111.784443 42.610424 107.26 27.15 NA
-111.783769 42.610424 111.45 21.15 NA
-111.783095 42.610424 122.63 20.84 NA
-111.782421 42.610424 133.78 20.58 NA
-111.781748 42.610424 126.78 23.51 NA
-111.781074 42.610424 127.26 20.23 NA
-111.7804 42.610424 125.25 18.58 NA
-111.779726 42.610424 113.11 22.13 NA
-111.779052 42.610424 108.56 21.93 NA
-111.778379 42.610424 113.33 26.91 NA
-111.789833 42.610728 101.35 19.74 NA
-111.78916 42.610728 107.91 22.5 NA
-111.788486 42.610728 99.5 23.39 NA
-111.787812 42.610728 93.24 23.26 NA
-111.787138 42.610728 92.97 18.99 NA
-111.786464 42.610728 115.01 27.19 NA
-111.785791 42.610728 109.2 25.39 NA
-111.785117 42.610728 110.56 27.8 NA
-111.784443 42.610728 111.96 26.4 NA
-111.783769 42.610728 110.29 21.57 NA
-111.783095 42.610728 135.55 19.72 NA
-111.782421 42.610728 120.86 22.55 NA
-111.781748 42.610728 133.43 22.89 NA
-111.781074 42.610728 133.36 21.31 NA
-111.7804 42.610728 128.2 16.51 NA
-111.779726 42.610728 112.04 21.27 NA
-111.779052 42.610728 100.92 25.25 NA
-111.778379 42.610728 116.99 23.91 NA
-111.789833 42.611033 94.12 18.5 NA
-111.78916 42.611033 92.29 21.03 NA
-111.788486 42.611033 103.39 21.26 5.79
-111.787812 42.611033 99.51 17.59 NA
-111.787138 42.611033 88.66 17.2 NA
-111.786464 42.611033 100.38 23.04 NA
-111.785791 42.611033 100.47 25.28 5.82
-111.785117 42.611033 106.5 25.94 NA
-111.784443 42.611033 115.39 24.88 NA
-111.783769 42.611033 104.34 21.48 NA
-111.783095 42.611033 130.28 21.27 NA
-111.782421 42.611033 124.05 18.22 NA
-111.781748 42.611033 128.41 20.63 NA
-111.781074 42.611033 127.11 24.21 NA
-111.7804 42.611033 128.72 23.04 NA
-111.779726 42.611033 121.86 24.31 NA
-111.779052 42.611033 115.91 20.35 NA
-111.778379 42.611033 138.81 24.25 NA
-111.789833 42.611337 110.3 20.49 NA
-111.78916 42.611337 85.27 23.25 NA
-111.788486 42.611337 90.43 21.07 NA
-111.787812 42.611337 95.79 17.21 5.17
-111.787138 42.611337 107.83 13.33 NA
-111.786464 42.611337 96.11 20.14 NA
-111.785791 42.611337 110.49 24.49 NA
-111.785117 42.611337 97.77 26.65 NA
-111.784443 42.611337 104.63 26.08 NA
-111.783769 42.611337 115.29 18.92 NA
-111.783095 42.611337 121.21 24.55 NA
-111.782421 42.611337 127.09 24.09 NA
-111.781748 42.611337 130.4 23.57 NA
-111.781074 42.611337 123.35 28.08 7.98
-111.7804 42.611337 138.76 21.98 8.28
-111.779726 42.611337 130.66 25.77 NA
-111.779052 42.611337 123.93 23.84 NA
-111.778379 42.611337 124.89 23.36 NA
-111.789833 42.611642 95.3 22.01 NA
-111.78916 42.611642 87.94 21.82 NA
-111.788486 42.611642 107.74 24.33 5.89
-111.787812 42.611642 99.1 17.69 NA
-111.787138 42.611642 108.45 15.22 NA
-111.786464 42.611642 103.82 18.81 NA
-111.785791 42.611642 104.81 20.38 NA
-111.785117 42.611642 103.06 27.35 6.54
-111.784443 42.611642 104.01 26.93 NA
-111.783769 42.611642 109.83 21.97 NA
-111.783095 42.611642 111.98 20.6 NA
-111.782421 42.611642 118.05 25.56 NA
-111.781748 42.611642 114.27 23.48 NA
-111.781074 42.611642 140.44 21.15 NA
-111.7804 42.611642 134.44 20.69 NA
-111.779726 42.611642 110.67 23.29 NA
-111.779052 42.611642 128.46 17 NA
-111.778379 42.611642 131.73 21.46 NA
-111.789833 42.611946 109.41 20.56 NA
-111.78916 42.611946 93.85 22.1 NA
-111.788486 42.611946 106 19.47 NA
-111.787812 42.611946 96.74 17.99 NA
-111.787138 42.611946 107.82 15.87 NA
-111.786464 42.611946 106.34 17.11 NA
-111.785791 42.611946 107.13 20.26 NA
-111.785117 42.611946 119.28 25.5 7.42
-111.784443 42.611946 106.44 25.5 NA
-111.783769 42.611946 118.41 22.78 NA
-111.783095 42.611946 126.05 23.83 8.07
-111.782421 42.611946 137.27 24.37 NA
-111.781748 42.611946 136.05 22.48 8.65
-111.781074 42.611946 120.2 22.34 NA
-111.7804 42.611946 127.96 21.72 NA
-111.779726 42.611946 131.44 23.37 NA
-111.779052 42.611946 135.91 20.41 NA
-111.778379 42.611946 150.37 20.47 8.32
-111.78916 42.61225 93.57 19.67 NA
-111.788486 42.61225 95.26 21.08 NA
-111.787812 42.61225 97.73 18.43 NA
-111.787138 42.61225 110.48 16.85 NA
-111.786464 42.61225 99.23 17.67 NA
-111.785791 42.61225 107.22 18.09 NA
-111.785117 42.61225 109.77 25.12 NA
-111.784443 42.61225 108.61 27.11 NA
-111.783769 42.61225 117.74 21.9 NA
-111.783095 42.61225 116.37 21.23 NA
-111.782421 42.61225 126.08 24.34 NA
-111.781748 42.61225 120.03 21.8 NA
-111.781074 42.61225 147.33 22.74 NA
-111.7804 42.61225 122.55 22.04 NA
-111.779726 42.61225 112.72 19.73 NA
-111.779052 42.61225 129.91 21.26 NA
-111.78916 42.612555 99.02 18.41 NA
-111.788486 42.612555 94.92 20.64 3.58
-111.787812 42.612555 109.44 18.95 NA
-111.787138 42.612555 109.08 14.81 NA
-111.786464 42.612555 109.9 17.15 5.4
-111.785791 42.612555 104.5 21.1 NA
